company_name,also_known_as,hq_city,hq_country,founded_year,primary_layer,secondary_layers,vertical_subcategory,core_or_division,one_liner,total_funding_usd,last_round_size_usd,last_round_type,last_round_date,last_round_lead,team_size,source_url,verification,entity_type,status,notes,business_model,customers,revenue_status,technical_differentiation
Cohesive Robotics,"Cohesive Robotics, Inc.; Argus OS",Brooklyn,US,2022,L6_vertical,L5_middleware,6b_manufacturing,core,"Argus OS uses 3D scans, vision and AI to auto-identify parts and program robotic workcells for surface finishing and welding in high-mix manufacturing without manual reprogramming.",undisclosed,undisclosed,Angel,2025-02,undisclosed,2-10,https://www.cohesiverobotics.com/company/about-us,verified,company,active,"HQ in Brooklyn, NY (Industry City), US; founded 2022 (Techstars-backed). Funding: $50K FuzeHub grant (Apr 2023) and an undisclosed Angel round (Feb 2025) per Crunchbase; total funding not disclosed. Team 2-10 per LinkedIn. NVIDIA Inception member. Borderline scope: product is AI-native adaptive manipulation for high-mix, high-variability finishing/welding (sanding, grinding, deburring, polishing, welding) that targets workpieces conventional pre-programmed industrial arms cannot handle without per-part reprogramming — kept in_scope=true because the value prop is AI/vision-driven auto-programming and part adaptation. Whether a learned policy drives core motion is unconfirmed; perception is AI, motion may be classical toolpath planning. Sources: cohesiverobotics.com, Crunchbase, PitchBook, LinkedIn, Industry City. [AI_intensity: unclear — Argus OS clearly uses learned AI for perception (3D scan-based part identification/classification driving the workflow), but the core finishing/welding motion appears to rely on AI-assisted auto-generated toolpaths rather than a confirmed end-to-end learned manipulation policy (no public evidence of RL/IL/diffusion/VLA driving motion). Perception is AI-native; manipulation is likely classical toolpath planning seeded by AI perception.]","Sells turnkey ""Smart"" robotic workcells (Smart Finishing and Smart Welding) powered by its proprietary Argus OS software, bundling off-the-shelf industrial/cobot arms with 3D vision sensors and AI auto-programming for high-mix surface finishing, sanding/deburring, and MIG/TIG welding. Buyers are high-mix manufacturers (aerospace, defense, metal fab, marine, medical, food equipment) who own the hardware via capital purchase financed through partner Anthem Capital Group (100% financing, 24-84 month terms, from ~$2,500/month); the company explicitly rejects a pure robotics-as-a-service/subscription model.","No paying customers are named publicly. Disclosed deployments are anonymized case studies (a surface-finishing workcell case study published via 3D-camera vendor Zivid) serving aerospace, defense, metal fabrication, marine/boatbuilding, medical, and food-processing-equipment makers; the company cites a project backlog and U.S. deployments but discloses no org names. Effectively undisclosed.",early-revenue (no public revenue/ARR figure disclosed),"Differentiates on Argus OS, which uses 3D scanning plus AI to auto-identify parts and generate robot programs with ""no programming required"" for high-mix, low-volume jobs, layered on standard robot-arm OEMs rather than proprietary hardware. Versus closest named competitors GrayMatter Robotics (AI sanding/finishing, Scan&Plan) and Path Robotics (autonomous AI welding), Cohesive spans both finishing and welding under one OS and goes to market on owned/financed equipment instead of RaaS; otherwise the vision-plus-AI auto-programming approach is broadly similar to GrayMatter and Path."
Elementary,Elementary ML; Elementary Robotics; VisionStream,South Pasadena,US,2017,L6_vertical,L4_hardware,6b_manufacturing,core,"AI machine-vision platform for manufacturing quality inspection; self-training deep-learning models learn what 'good' looks like and continuously improve detection of surface, dimensional, assembly and label defects.",~66300000,undisclosed,Series B (extension/strategic),2024-05,Rockwell Automation (strategic investor),~37-200 (37 per CB Insights end-2023; ~200 per PitchBook),https://www.elementaryml.com/about,verified,company,active,"Founded 2017 by Arye Barnehama and Bill Gross (Idealab); HQ South Pasadena/LA area, CA with offices in Chicago and Mexico City. Funding history: pre-seed/$3.6M seed (Fika, Fathom, Toyota AI Ventures), $12.7M Series A 2020-06 (Threshold Ventures), $30M Series B 2021-12 led by Tiger Global. A later strategic round (~2024-05) added Rockwell Automation; total funding reported between $47.5M (2021) and $66.3M (PitchBook 2026) — exact most-recent round size undisclosed. SCOPE: Borderline L6 — vision inspection rather than learned manipulation. Included per 'when in doubt, in scope': the product is AI-native (adaptive self-training defect-detection models that improve per inspection); traditional rule-based machine vision exists, but Elementary's continuous-learning approach is the defining AI element. ai_intensity is perception-only; no learned robot control policy. Funding amount approximate due to source discrepancy. [AI_intensity: Perception is the learned core: self-training/adaptive deep-learning vision models classify and continuously improve defect detection (anomaly/defect classification). No learned manipulation, navigation, or planning policy — it is a fixed-station vision inspection appliance, not a robot motion policy.]","Sells an integrated AI machine-vision quality-inspection stack to Fortune 500 manufacturers: the QualityOS cloud platform (analytics, traceability) plus on-prem AI vision controllers/cameras and the VisionStream self-training defect-detection engine. Goes to market via consultative enterprise sales (no public list pricing); revenue comes from hardware deployments plus recurring cloud/software subscriptions and professional services, sold per production line/inspection station.","Named manufacturing deployments include Toyota (Indiana plant), Milwaukee Tool, and Topcon; serves Fortune 500 manufacturers across automotive, CPG, electronics, food & beverage, and life sciences, inspecting 1B+ parts annually. Strategic investor Rockwell Automation also acts as a go-to-market channel partner.","early-revenue (no public revenue/ARR figure disclosed; ~$66M+ total funding raised including $30M Series B led by Tiger Global, Dec 2021, plus 2024 strategic investment from Rockwell Automation and Toyota Ventures)","VisionStream's self-training ""learn by observation"" model reaches ~99.9% accuracy in seconds with no manual labeling or rule tuning, versus Landing AI (LandingLens), which uses a more data-centric, human-labeled training workflow. Vs Instrumental (ex-Apple founders, electronics/NPI-focused, combines visual + product data for root-cause), Elementary is broader cross-industry and pairs cloud QualityOS with its own edge vision controllers and OT/MES/ERP integrations rather than electronics-only deployment."
Machina Labs,"Machina Labs, Inc. (RoboForming / RoboCraftsman)",Los Angeles,US,2019,L6_vertical,L4_hardware,6b_manufacturing,core,"AI-driven dual-arm robotic ""blacksmiths"" incrementally form sheet metal directly from CAD using learned forming decisions, eliminating custom dies and molds for flexible metal manufacturing.",45000000,32000000,Series B,2023-10,NVentures (NVIDIA) and Innovation Endeavors,unknown,https://www.therobotreport.com/machina-labs-brings-in-32m-for-robotic-sheet-metal-forming/,verified,company,active,"Founders Edward Mehr (CEO) and Babak Raeisinia; HQ in Chatsworth/Los Angeles, CA. Founded 2019 (some sources say 2018). Series B ($32M, Oct 2023) led by NVIDIA's NVentures and Innovation Endeavors brought total to $45M; earlier funding included a $21.8M round with Lockheed Martin Ventures. Most recent confirmable round is the Oct 2023 Series B. Scope: AI-native flexible forming — RoboForming reaches complex geometries directly from CAD without dies/molds via AI-driven adaptive manipulation and sensing; borderline on learned-policy vs model-predictive control, but vendor describes ML/RL-driven forming decisions, so in_scope=true. Team size not reliably found. Customers span aerospace, defense, automotive, heavy machinery. [AI_intensity: Manipulation: the incremental sheet-forming uses AI-driven sensors plus ML/RL-informed forming decisions to adaptively determine deformation amount and location to reach geometry; vendor describes RL/ML, though core may blend with model-predictive control. Perception via AI sensor arrays; digital twins for process characterization.]","Two-pronged hardware + parts model: Machina either sells/deploys its RoboCraftsman dual-arm robotic forming systems (including a containerized ""Deployable"" unit) to customer facilities, or operates them in-house as contract manufacturing, producing aerospace/defense-grade sheet-metal structures and hard-to-source legacy aircraft parts directly from CAD (no dies). Revenue comes mostly via government/defense manufacturing contracts and a planned U.S. ""Intelligent Factory"" producing parts at production scale.","U.S. Air Force (Warner Robins Air Logistics Complex / Robins AFB), U.S. Department of Energy / Lawrence Livermore National Lab, and large aerospace, defense, and automotive OEMs. Strategic investors who are also partners/customers include Lockheed Martin (Ventures) and Toyota (Woven Capital). Reported ~$14M in defense contract awards as of April 2025.","early-revenue (~$5M revenue FY2022 per CB Insights/PitchBook; ~$14M defense contract awards as of April 2025, unverified). No audited recent ARR figure publicly disclosed.","Vs. traditional die-stamping and vs. incremental-forming peers, Machina's RoboForming uses two coordinated 7-axis robots with learned/AI forming decisions and in-process sensing to form complex metal parts without geometry-specific dies, dramatically cutting tooling cost and lead time. Closest named competitors are Desktop Metal/Markforged (metal additive, but limited size/material vs. Machina's large aerospace-grade sheet structures) and conventional press/stamping shops; Machina is differentiated by die-less, software-defined, dual-arm robotic forming at production scale plus deployable on-site units."
Micropsi Industries,"MIRAI, MIRAI 2, Micropsi Industries GmbH",Berlin,DE,2014,L6_vertical,L5_middleware,6b_manufacturing,core,"MIRAI is a neural-network robot control system that learns hand-eye-coordinated manipulation tasks from human demonstration, adapting in real time to variance in position, shape, color, and lighting.",40340000,30000000,Series B,2022-02,"Metaplanet, VSquared Ventures, Ahren Innovation Capital (co-leads)",~60-69,https://www.micropsi-industries.com/,verified,company,active,"AI-native: MIRAI replaces hard-coded programming with a learned (imitation) policy that adapts to environmental variance in real time, enabling automation of assembly, material handling, and quality-control tasks that could not previously be automated with traditional pre-programmed arms. Deployed by Siemens Energy, ZF Group, BSH. Founded 2014 in Berlin (R&D HQ); reincorporated as a US-based company in Sept 2024 with US offices in San Francisco and Los Angeles, so HQ attribution is increasingly US — primary operations/founding remain Berlin, DE. Funding history: Angel 2015, Seed (~$2.5M, Oct 2016/2017), Series A ($6.08M, 2020), Series B ($30M, Feb 2022). Total ~$40.34M per Crunchbase. Team size varies by source (62 PitchBook 2026, 67 EasyLeadz 2025, 69 GetLatka 2024). Sources: crunchbase.com/organization/micropsi-industries; businesswire.com Series B release 2022-02-10; therobotreport.com; pitchbook.com profile 102086-02. [AI_intensity: Manipulation uses a learned imitation/neural-network policy: MIRAI is trained from human demonstration, correction, and repetition rather than programmed, and generates real-time motion that adapts to variance in object position, shape, color, and lighting. Learned policy for the core manipulation task.]","Sells MIRAI / MIRAI 2, an AI robot-control software product (edge controller + cloud-based ML training service + training app) that retrofits onto third-party industrial robot arms (e.g. Universal Robots, FANUC) for manufacturers. Revenue comes from software licenses/subscriptions plus deployment, sold to factory automation buyers via direct sales and integrator partners; pricing is quote-based and not publicly listed.",BSH Hausgeräte GmbH (Bosch/Siemens home appliances) uses MIRAI to automate leak testing; the company also cites deployments in automotive and electronics manufacturing. Most other named customers are undisclosed.,"early-revenue (~$6.7M revenue/ARR, 2024, unverified per Latka); raised ~$43-45M total including a $30M Series B (Metaplanet, Ahren Innovation Capital, Vsquared Ventures)","vs Covariant and Intrinsic (Alphabet): MIRAI focuses on real-time, closed-loop hand-eye-coordinated fine manipulation/assembly learned from a few human demonstrations, adapting continuously to position/shape/lighting/background variance, and in MIRAI 2 removes the force-torque sensor requirement; this contrasts with Covariant's pick-and-place foundation-model approach and Intrinsic's broader developer-platform/programming toolkit."
NEURA Robotics,Neura Robotics GmbH; MAiRA,Metzingen,DE,2019,L6_vertical,L4_hardware,6b_manufacturing,core,"Builds AI-driven 'cognitive' robots and humanoids (MAiRA series) that combine environmental perception with adaptive decision-making for manufacturing, logistics and human-robot collaboration.",~1.2B+ (raising); ~281M prior to 2026 round,~1.2B (approx €1B),growth/late-stage (reported),2026-03,"Tether Holdings (reported; backing also from Amazon, Qatari investor)",~1200,https://neura-robotics.com/company/,verified,company,active,"HQ Metzingen, Germany; founded 2019 by David Reger (CEO). MAiRA marketed as world's first cognitive robot (launched 2021). Jan 2025: €120M Series B led by Lingotto Investment Management (investors incl. Volvo Cars Tech Fund, HV Capital, Vsquared, Delta Electronics). March 2026: reportedly raising ~€1B/$1.2B (Tether-backed, Amazon + Qatari investor) at ~€4B valuation; round not yet officially confirmed by company, hence figures marked reported. Borderline L6: collaborative arms exist without AI, but the cognitive/learned-perception positioning plus general-purpose humanoid (4NE-1) roadmap put it in scope. Team grew from ~300 (2024) toward ~1200. Sources: neura-robotics.com/company; businesswire Series B; Bloomberg/SiliconANGLE €1B round. [AI_intensity: Markets learned perception (vision/touch sensor fusion) and adaptive task execution; cognitive robots and humanoid roadmap use learned policies for manipulation/perception. Exact policy type (RL/IL/VLA) not fully disclosed — unclear but AI-native positioning is central, not a bolt-on.]","Sells AI-driven ""cognitive"" robots and humanoids as hardware-plus-software: industrial cobots (MAiRA, LARA) priced ~EUR 5,000-40,000, the 4NE-1 humanoid (Studio F.A. Porsche design) at ~EUR 98,000 per unit dropping to ~EUR 60,000 for fleet orders of 20+, and the consumer/service MiPA below EUR 10,000. Also earns via white-label OEM deals where partners (e.g., Kawasaki) resell NEURA's platform, plus its Neuraverse app/skill marketplace for robot capabilities.","White-label/OEM and strategic partners include Kawasaki Robotics (reselling cobots on NEURA's platform), Delta Electronics, Omron, Bosch, Schaeffler, SAP, NVIDIA, Vodafone, and Volvo Cars (investor/partner); reported order book approaching ~EUR 1 billion. Individual end-customer names beyond these partners are largely undisclosed.","early-revenue (no specific revenue/ARR figure publicly disclosed; company cites ""10x revenue growth"" in 2024 and a ~EUR 1B multi-year order book/backlog, not recognized revenue)","Positions on ""cognitive"" robots that fuse onboard multi-modal perception (vision, touch, audio) with adaptive decision-making and a unified hardware+AI+app-marketplace (Neuraverse) stack, spanning cobots through humanoids. Versus humanoid rivals Figure AI and Agility Robotics, NEURA differentiates by leveraging its existing industrial cobot revenue/manufacturing base and OEM white-label channel (Kawasaki/Omron) rather than building only a single humanoid platform."
Path Robotics,"Path Robotics, Inc.",Columbus,US,2018,L6_vertical,L1_foundation_model,6b_manufacturing,core,"Tackles welder labor shortages with autonomous welding cells powered by Obsidian, a foundational AI model trained on millions of weld inches to adapt in real time to part geometry.",~271000000,100000000,Series D,2024-10,Matter Venture Partners and Drive Capital,~190,https://www.path-robotics.com/news/path-robotics-announces-obsidian-foundational-model-welding,verified,company,active,"Founded 2018 by brothers Andy (CEO) and Alex Lonsberry; HQ at 3950 Business Park Drive, Columbus, OH. AI-native per bar: traditional robotic welding requires manual pre-programming per part; Path's Obsidian model learns to weld varying, never-before-seen parts autonomously (adaptive learned manipulation), so the category would not exist without learned policies => in_scope=true. Products: intelligent welding cells and Rove mobile welding platform (for shipbuilding/heavy industry), both powered by Obsidian. Total funding figures vary by source (~$250-271M cumulative incl. prior $170M and Oct 2024 $100M Series D); using Crunchbase/Tracxn ~$271M. Team size estimates range 156-198 (Mar 2026); using ~190. Series D (Oct 14, 2024) participants: Yamaha Ventures, Taiwania Capital, MediaTek, Catapult Ventures, Gaingels, Addition, Tiger Global, Basis Set. [AI_intensity: Manipulation (welding) uses a learned policy: Obsidian is a foundational physical-AI model trained on tens of millions of real weld inches, enabling the robot to perceive part geometry/fit-up and adapt weld execution in real time rather than running pre-programmed paths. Learned perception + decision/manipulation.]","Sells autonomous welding capacity to fabricators and OEMs via a Robotics-as-a-Service model: rather than selling capital equipment, Path operates its intelligent welding cells (AW-3, AF-1, and the new Rove mobile/quadruped system, all powered by its Obsidian welding foundation model) and charges a recurring subscription/per-capacity fee with $0 customer capex, bundling maintenance, software updates, and 24/7 Mission Control production support. Its Path Foundry offering also provides contract-manufacturing welding services where Path runs production on the customer's behalf.","Named adopters/pilots include the U.S. Navy (partnership to deliver 20+ autonomous ships by 2027), Saronic Technologies (early Rove adopter for shipbuilding in Franklin, LA), and LAD Services. Verticals served include defense, shipbuilding, AI data centers, energy infrastructure, and construction/mining equipment fabricators.","scaling (no public revenue/ARR figure disclosed; ~$300-341M total raised, ~$4B valuation reported 2025-2026)","Differentiated by Obsidian, a purpose-built welding foundation model trained on tens of millions of weld inches / 200,000+ hours of real welding data, enabling autonomous adaptation to high-mix, low-volume part variability that defeats conventional teach-and-repeat cells. Closest competitors are incumbents FANUC and ABB, whose adaptive welding modules adjust torch angle/gap on the fly but lack a learned foundation model and full RaaS turnkey operation; among startups, Novarc Technologies is the nearest named peer but is narrower (pipe/spool welding cobots)."
Chef Robotics,"Chef Robotics, Inc.",San Francisco,US,2019,L6_vertical,"L1_foundation_model,L4_hardware",6c_food,core,"Deploys AI-enabled bi-manual robotic arms for food assembly in meal-production plants, using a diffusion-based imitation-learning ""Food Foundation Model"" to handle deformable, sticky, inconsistent ingredients.",~65600000,43100000,Series A,2025-04,Avataar Venture Partners,~140,https://www.chefrobotics.ai/post/weve-raised-43-1m-to-accelerate-our-ai-enabled-robot-deployments,verified,company,active,"Founded 2019 by CEO Rajat Bhageria. AI-native variable-item manipulation: food is deformable/sticky/wet/inconsistent with no off-the-shelf sim data, so Chef uses diffusion-based imitation learning (30-40 human demos -> diffusion policy) plus KNN fine-tuning for its ""Food Foundation Model"" — in_scope=true. Series A April 2025 announced as $43.1M combined: $20.6M equity (led by Avataar Venture Partners; Construct Capital, Bloomberg Beta, Promus, MFV, Interwoven, HCVC, Alumni, MaC, Red and Blue, Tau, Siddhi, BOLD also participated) + $22.5M equipment-financing debt. Total raised ~$65.6M (~$38.8M equity, ~$26.75M debt). 44M+ servings produced; customers include Amy's Kitchen, Sunbasket, Chef Bombay, Cafe Spice. Team size ~140 per Tracxn/CB Insights (May 2026). Was not previously in census. [AI_intensity: Core manipulation (food assembly/plating) runs on a learned diffusion policy trained via imitation learning from 30-40 human demonstrations per item, with KNN fine-tuning — its ""Food Foundation Model."" Learned policy for manipulation; clears the AI-intensity bar.]","Robotics-as-a-Service: food manufacturers lease Chef's AI-enabled bi-manual food-assembly robots (the Chef system / ""ChefOS"" + Food Foundation Model) for prep-table portioning, paying a small upfront deployment fee plus recurring monthly/quarterly subscription with no large CapEx. Chef self-funds the hardware via equipment-financing debt against signed customer contracts.","Named paying food manufacturers/brands: Amy's Kitchen (first customer, 2022), Sunbasket, Chef Bombay, and Cafe Spice; serves customers across the US and Canada with planned UK expansion. Amy's Kitchen reported 12% better run consistency, 4% less food giveaway, and 17% higher labor productivity.",scaling (no public ARR/revenue dollar figure disclosed; reports quadrupling recurring revenue 2022-2023 and surpassing 100 million servings in production by April 2026),"Differentiates via a diffusion-based imitation-learning ""Food Foundation Model"" trained on 100M+ real-world servings, letting bi-manual arms generalize across new ingredients, textures, and portion sizes vs. more rigid/single-arm peers. Closest named competitors are Dexterity (general industrial/logistics manipulation) and Hyphen (automated makeline systems); Chef's edge is a food-specific generalist AI plus a deployed data flywheel (claims more meals produced than all other food-robotics startups combined)."
Dexai Robotics,Alfred,Somerville,US,2018,L6_vertical,L4_hardware,6c_food,core,"Builds Alfred, a collaborative robot arm that scoops and assembles salads and bowls in existing commercial kitchens using everyday utensils, handling deformable foods.",~15500000,undisclosed,Series A / Venture,2022-08,undisclosed,unknown,https://www.crunchbase.com/organization/dexai-robotics,verified,company,active,"Spun out of Draper Laboratory (with MIT/Harvard research roots) in 2018; CEO/co-founder David M.S. Johnson. HQ in Somerville/Greater Boston, MA (near Cambridge; assignment listed Cambridge). Product 'Alfred' is a cobot that uses standard utensils to assemble salads/poke bowls in existing kitchens; differentiator is manipulation of deformable, shape-changing foods (ice cream, soft fruit, sushi-grade tuna, pico de gallo). Total funding ~$15.5M over ~3 rounds: pre-seed (~2019, NFX), $5.5M seed (2020, led by Hyperplane VC) — Crunchbase/Tracxn aggregate also cites an $8.76M seed and a 2022 round/debt; figures vary by source. Deployments include Travis Air Force Base and a $1.6M DLA contract for 10 robots, plus BONAPITA restaurant. IN SCOPE: AI-trained variable-item manipulation of deformable foods is an AI-native problem hard to solve with classical planning alone. Exact policy type (IL/RL vs model-based/heuristic) not confirmed in public sources — included with note per instruction. Team size and most recent round details not reliably findable. [AI_intensity: unclear — perception (machine vision for ingredient detection) and manipulation of deformable/shape-changing foods are core differentiators that company markets as breakthrough AI/ML; public sources confirm ML/computer-vision but do not specify whether the manipulation policy is learned (IL/RL) versus model-based/heuristic control. Deformable-food handling strongly implies learned perception, but exact policy type is unverified.]","Sells/leases Alfred, a collaborative robot-arm sous-chef that scoops and assembles bowls, salads, and similar dishes in commercial kitchens, via a robotics-as-a-service (RaaS) model charging a flat per-dish fee, plus system sales, maintenance contracts, and app-based data analytics. Buyers are foodservice operators, institutional cafeterias, and government dining facilities (e.g., a $1.6M Defense Logistics Agency contract for 10 units).","U.S. Defense Logistics Agency / U.S. Department of Defense (10-unit, $1.6M contract; first deployment at the Monarch Dining Facility, Travis Air Force Base, CA) and BONAPITA restaurant in West Roxbury/Boston, Massachusetts.",early-revenue (~$1.6M DLA contract; no company-wide revenue/ARR figure publicly disclosed; acquired by Sony Sept 2025),"Unlike Chef Robotics (which retrofits gantry/dispensing systems for high-volume food assembly lines) and Hyphen (modular under-counter ""makeline"" automation), Dexai's Alfred is a single collaborative arm that uses everyday human utensils and AI vision to adapt across diverse dishes in existing kitchens without retooling, and is NSF food-safety certified."
Kaikaku,"KAIKAKU.AI, Fusion (machine)",London,GB,2023,L6_vertical,L4_hardware,6c_food,core,"Robotics-driven restaurant chain; its Fusion machine assembles salad bowls (~360/hr) via conveyor and 3D-printed food cartridges, using ML for inventory, weighing/dispensing, and allergen-detecting computer vision.",1800000,1800000,Seed,2024-02,HodlCo,unknown,https://www.kaikaku.ai/,verified,company,active,"London robotics restaurant startup, founded 2023 by Josef Chen (CTO Ivan Tregear; co-founders also cited as David Sharp and Piers Millar). Raised $1.8M seed (Feb 2024) led by HodlCo, 5 investors; PitchBook lists ~$4.45M total but the $1.8M seed is the confirmed/most-cited figure, so total_funding_usd reported conservatively as $1.8M. Fusion machine: ~360 bowls/hr, 10-26s per bowl, conveyor + 3D-printed food-safe cartridges. ML-powered inventory management plus self-trained CV model identifying food on shelves and detecting allergen cross-contamination. SCOPE: marked in_scope=true under when-in-doubt rule because it features AI-trained variable-item perception/handling in a food-automation context, though the core assembly hardware is largely mechanical/pre-programmed rather than a learned manipulation policy. ai_intensity for the robot's core manipulation is unconfirmed — learned component is CV/inventory, not manipulation. TIME (May 2026) profiled the restaurant. Source CTOL Digital and Crunchbase corroborate $1.8M seed. [AI_intensity: Borderline. The learned components are computer vision (identifying food on shelves, detecting allergen cross-contamination) plus ML for inventory and weighing/dispensing. The core manipulation/assembly task runs on a conveyor + 3D-printed food-cartridge mechanical system that appears pre-programmed, not a learned manipulation policy. No RL/IL/diffusion/VLA manipulation confirmed; AI is in perception/inventory rather than the robot's core manipulation.]","Vertically integrated robotics restaurant operator: Kaikaku runs its own robot-powered restaurant brand (Common Room, Brunswick Centre, London) selling salad/grain bowls assembled by its Fusion machine (~360 bowls/hr via conveyor and 3D-printed food cartridges), and intends to sell/license the cloud-based Fusion system (robot modules, ordering kiosks, ML inventory/QA/analytics) to third-party operators. Revenue today is primarily own-store food sales, with B2B hardware/software licensing as the intended scaling model; no public per-unit or contract pricing disclosed.","Primary ""customer"" is its own-brand Common Room restaurant in London (Brunswick Centre). For third-party deployment it reportedly is in trial talks with UK salad chain Tossed; broader paying external operators are otherwise undisclosed.","early-revenue (no public revenue/ARR figure disclosed; company reports ~95% robot uptime and claims profit margins ~4x traditional restaurants, unverified; total funding ~$4.45M per Tracxn, latest reported raise $1.8M/£1.4M)","Differentiates via an armless conveyor-plus-funnel modular dispensing system with custom food-safe 3D-printed cartridges and ML-driven inventory/QA, rather than the robotic-arm approach of peers; closest named competitors are Chef Robotics (US, robotic-arm food assembly) and Sweetgreen's Infinite Kitchen (ex-Spyce) plus UK's Karakuri. Kaikaku's edge is a vertically integrated own-restaurant proof point and lower-cost modular hardware, but it competes largely on execution and capital in a capital-intensive niche."
Miso Robotics,Flippy,Pasadena,US,2016,L6_vertical,L4_hardware,6c_food,core,"Builds Flippy, a rail-mounted robot automating QSR fry stations using a proprietary AI/NVIDIA vision system trained on millions of real-world basket-frying data points.",~96900000 (reported ~$96.9M; estimates vary $65M-$127M across sources due to crowdfunding rounds),undisclosed (ongoing crowdfunding; ~$0.14M tranche reported 2025-03),equity crowdfunding (Reg A+/DealMaker),2025-03,undisclosed (crowdfunding); prior strategic lead Ecolab,unknown,https://www.misorobotics.com/,verified,company,active,"[Restored to census at GATE2 review per Zian: counts as learned cooking manipulation of variable food items; overrides the earlier in_scope=false scope-filter call.] BORDERLINE case resolved to in_scope=false after verification. Fry-station/basket frying is a product category that exists without AI (conventional automated fryers and pre-programmed arms accomplish it). Miso's ML is concentrated in a perception/vision system (basket and food detection, trained on millions of real-world baskets, built with NVIDIA), while the manipulation is pre-programmed pick-and-place on a fixed rail — there is no learned end-to-end manipulation policy (no RL/IL/VLA). Per scope filter, AI is added as enhancement to an otherwise non-AI-native category, so excluded. real_robotics_ai=true (genuine learned vision in a real robot) but does not meet the AI-native manipulation bar. Founded 2016 (Pasadena, CA). CEO Rich Hull, CTO Bachir Kharraja (both 2023). Acquired Zignyl (restaurant ops software) early 2026. Funding is heavily crowdfunding-driven (Reg A+/SeedInvest/DealMaker plus strategic investor Ecolab), so totals vary widely by source. Newest Flippy processes ~100+ baskets/hr. Sources: company site misorobotics.com, qsrweb.com launch PR, therobotreport.com, SEC annual report 2025, Crunchbase/Tracxn/PitchBook for funding. [AI_intensity: Perception uses a learned ML vision system (food/basket detection, trained on real-world data, developed with NVIDIA). Manipulation/navigation are NOT learned — arm motion is pre-programmed pick-and-place on a fixed rail; no RL/IL/VLA end-to-end manipulation policy. Planning is classical. AI is centered on perception only.]","Sells/leases its Flippy Fry Station robot to QSR chains on a Robotics-as-a-Service (RaaS) subscription rather than upfront sale; reported base configuration averages ~$3,000/month and higher fry-cook configs ~$5,400/month, bundling software updates, support and maintenance. Distribution is augmented via a partnership with Ecolab, whose ~6,000-person sales force offers Flippy rentals to its restaurant customers.","Named deployments/pilots include White Castle (fries), Jack in the Box (fries/drinks), Wing Zone (wings), Chipotle (chips), and CaliExpress by Flippy (Miso's own robot-run flagship). As of 2025, the arm was installed in roughly 13 restaurants across White Castle and Jack in the Box, with additional installs scheduled; distribution partner Ecolab.",early-revenue (~$3M revenue FY2022 per third-party data; no verified FY2024/2025 figure publicly disclosed; ~$129M total raised including Reg A+/crowdfunding),"Differentiates on a purpose-built, rail-mounted fry-station form factor with proprietary NVIDIA-based vision models trained on millions of real-world basket-fry events and a fast (~hours, 75% less install time) retrofit into existing QSR lines. Versus Chef Robotics (focused on high-mix food-assembly in food-manufacturing/co-packing) and Nala Robotics (full multi-cuisine autonomous kitchens), Miso is narrower and deeper on the QSR back-of-house fry/grill task."
